ts,airline,hour,count,min,p25,p50,p75,p90,max
2025-01-01 00:00:00,UA,13,15432,-25.0,-6.0003807881353195,-3.0001207865259647,6.0003807881353195,35.69989444930044,1349.0
2025-01-01 00:00:00,WN,13,27894,-19.0,-3.9628523348246314,0.0,11.086028370328492,35.0006233314147,637.0
2025-01-01 00:00:00,AA,14,16935,-26.0,-5.022376194977744,-1.01,12.997499126390684,53.04233804589578,1831.0
2025-01-01 00:00:00,DL,14,15864,-25.0,-6.0003807881353195,-1.9813812853544068,10.044983161068599,44.346159263028085,1196.0
2025-01-01 00:00:00,UA,14,14465,-21.0,-6.0003807881353195,-3.0001207865259647,7.03964781329143,47.06185394385251,1160.0
2025-01-01 00:00:00,WN,14,26450,-17.0,-3.9628523348246314,0.0,12.997499126390684,37.87667712885539,647.0
2025-01-01 00:00:00,AA,15,14966,-26.0,-5.022376194977744,-1.01,17.15649416584582,58.611273738729224,2310.0
2025-01-01 00:00:00,DL,15,20648,-25.0,-5.022376194977744,-1.01,12.997499126390684,49.957129881134726,1188.0
2025-01-01 00:00:00,UA,15,10606,-26.0,-6.0003807881353195,-1.9813812853544068,8.924561993432542,47.06185394385251,1191.0
2025-01-01 00:00:00,WN,15,26421,-17.0,-3.9628523348246314,1.01,14.945716726242868,42.628827728434494,670.0
2025-01-01 00:00:00,AA,16,16772,-26.0,-5.022376194977744,-1.01,14.945716726242868,57.45614011573423,1789.0
2025-01-01 00:00:00,DL,16,14827,-26.0,-6.0003807881353195,-1.01,12.997499126390684,48.97134702966695,1143.0
2025-01-01 00:00:00,UA,16,15549,-23.0,-6.0003807881353195,-1.9813812853544068,8.924561993432542,49.957129881134726,1072.0
2025-01-01 00:00:00,WN,16,26150,-17.0,-3.9628523348246314,1.01,15.852127465669819,45.232237431294294,646.0
2025-01-01 00:00:00,AA,17,17881,-25.0,-5.022376194977744,-1.01,17.849535601381675,62.18720363538349,2511.0
2025-01-01 00:00:00,DL,17,19993,-30.0,-7.03964781329143,-1.9813812853544068,11.086028370328492,48.97134702966695,1222.0
2025-01-01 00:00:00,UA,17,16181,-23.0,-6.0003807881353195,-1.9813812853544068,10.044983161068599,48.00638763392677,1080.0
2025-01-01 00:00:00,WN,17,26327,-23.0,-3.9628523348246314,1.9813812853544068,17.849535601381675,49.957129881134726,491.0
2025-01-01 00:00:00,AA,18,18324,-34.0,-5.022376194977744,0.0,18.937903243191588,62.18720363538349,2331.0
2025-01-01 00:00:00,DL,18,17753,-32.0,-6.0003807881353195,-1.01,15.852127465669819,56.32111902432654,1173.0
2025-01-01 00:00:00,UA,18,16115,-50.0,-6.0003807881353195,-1.9813812853544068,11.086028370328492,54.11385691776102,1145.0
2025-01-01 00:00:00,WN,18,28106,-21.0,-3.9628523348246314,1.01,17.849535601381675,48.97134702966695,515.0
2025-01-01 00:00:00,AA,19,16272,-27.0,-5.022376194977744,0.0,23.06811574166162,70.00286368894791,1613.0
2025-01-01 00:00:00,DL,19,16088,-30.0,-6.0003807881353195,-1.01,17.849535601381675,63.4113824398483,1107.0
2025-01-01 00:00:00,UA,19,14113,-28.0,-6.0003807881353195,-1.01,14.079623662673095,54.11385691776102,950.0
2025-01-01 00:00:00,WN,19,24185,-21.0,-5.022376194977744,1.01,18.937903243191588,55.20687320920256,430.0
2025-01-01 00:00:00,AA,20,13487,-28.0,-3.9628523348246314,0.0,18.937903243191588,56.32111902432654,2273.0
2025-01-01 00:00:00,DL,20,10905,-29.0,-6.0003807881353195,-1.01,15.852127465669819,57.45614011573423,1170.0
2025-01-01 00:00:00,UA,20,9866,-41.0,-5.022376194977744,0.0,17.849535601381675,59.78562868134215,1144.0
2025-01-01 00:00:00,WN,20,23427,-24.0,-5.022376194977744,1.01,18.937903243191588,53.04233804589578,434.0
2025-01-01 00:00:00,AA,21,9887,-20.0,-5.022376194977744,0.0,17.849535601381675,57.45614011573423,2364.0
2025-01-01 00:00:00,DL,21,10057,-24.0,-6.0003807881353195,-1.9813812853544068,12.001040013389092,46.137298677665186,1118.0
2025-01-01 00:00:00,UA,21,5149,-24.0,-7.03964781329143,-1.9813812853544068,12.001040013389092,46.137298677665186,736.0
2025-01-01 00:00:00,WN,21,13150,-22.0,-3.9628523348246314,1.9813812853544068,24.002636914918774,63.4113824398483,410.0
2025-01-01 00:00:00,AA,22,10189,-21.0,-5.022376194977744,-1.9813812853544068,12.997499126390684,46.137298677665186,1447.0
2025-01-01 00:00:00,DL,22,10727,-22.0,-6.0003807881353195,-1.9813812853544068,7.925884200121824,38.63013534062141,1061.0
2025-01-01 00:00:00,UA,22,3699,-35.0,-7.03964781329143,-3.0001207865259647,5.022376194977744,25.995604398722985,1048.0
2025-01-01 00:00:00,WN,22,5920,-17.0,-3.9628523348246314,3.9628523348246314,27.056297108952908,63.4113824398483,273.0
2025-01-01 00:00:00,AA,23,3197,-22.0,-6.0003807881353195,-1.9813812853544068,7.03964781329143,31.704973071152452,1041.0
2025-01-01 00:00:00,DL,23,3327,-24.0,-7.03964781329143,-3.0001207865259647,6.0003807881353195,29.892123890416237,942.0
2025-01-01 00:00:00,UA,23,4060,-24.0,-7.925884200121824,-3.9628523348246314,3.0001207865259647,23.06811574166162,1124.0
2025-01-01 00:00:00,WN,23,504,-16.0,-3.9628523348246314,-1.01,6.0003807881353195,18.937903243191588,103.0
